Gene	G1_0	G1_1	G2_0	G2_1	G2_2	G2_3	G3_0	G4_0	G4_1	G4_2	G4_3	G4_4	G5_0	G5_1	G5_2	G5_3	G6_0	G6_1	G6_2
FAM168A	2076	1246	2738	606	782	2123	712	1179	1613	6406	1611	1679	1370	1464	1158	1034	1491	1207	1455
FAM168B	3536	2446	6429	1438	1833	3884	1562	2218	3169	13532	2712	3084	3151	3095	2381	2067	2500	2557	2713
FAM169A	692	367	1200	239	267	479	330	236	669	2443	680	502	374	425	362	520	524	426	599
FAM169B	0	0	2	4	0	0	1	0	0	1	2	0	1	0	3	0	30	0	4
FAM170A	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
FAM171A1	839	542	1419	298	200	601	264	234	607	2489	501	613	620	453	583	434	1012	457	545
FAM171A2	10	4	24	13	2	9	11	2	3	23	6	9	16	6	47	2	31	22	8
FAM171B	165	50	302	28	50	98	25	91	302	556	185	141	44	69	24	130	40	45	153
FAM172A	1879	1299	4181	694	886	1820	641	1154	1852	7957	1677	1619	1572	1390	1214	1583	1055	1548	1507
FAM172BP	11	0	26	19	4	2	4	0	20	16	6	5	27	8	4	4	15	11	13
FAM173A	196	200	302	211	133	234	207	242	187	652	154	183	443	195	189	93	256	154	190
FAM173B	472	332	991	272	233	478	277	453	544	1760	485	423	441	337	407	375	497	396	435
FAM174A	3715	2304	8864	1104	1422	3565	643	2732	3918	17237	2743	3442	1839	3082	2483	3588	1399	3067	2998
FAM174B	1610	1469	2689	689	786	1840	844	1618	1498	6893	1302	1615	2165	1585	1382	965	1313	1142	1284
FAM175A	1365	731	2732	351	607	1011	273	851	1528	5665	1213	1137	721	813	825	1179	350	1029	1225
FAM175B	796	460	1408	483	391	771	501	558	773	2697	667	676	759	557	566	475	648	645	503
FAM176A	119	113	185	46	82	148	47	87	260	254	112	95	71	106	92	46	132	91	109
FAM176B	242	294	468	250	178	224	152	259	275	1023	175	225	409	293	390	151	277	276	361
FAM176C	1865	1575	4089	921	1125	1893	957	2188	1765	9010	1492	1907	1965	1984	2168	1359	1835	1546	2002
FAM177A1	1794	1172	3555	1161	697	1874	1400	1551	2526	7430	1507	1613	2348	1125	1682	1395	2026	1796	1926
FAM177A1P1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FAM177B	192	164	95	224	27	16	645	10	61	2003	69	191	1181	55	180	36	907	116	110
FAM178A	1122	790	2159	496	531	1612	706	1249	1295	4709	1280	1144	1025	761	773	937	772	809	827
FAM178B	318	163	945	87	151	321	49	312	402	1760	217	391	156	231	283	205	132	153	304
FAM179A	7784	6739	23109	2331	2680	10360	293	18772	12009	46887	13581	14331	2886	6585	5078	8354	1495	5299	8394
FAM179B	3085	1400	5865	628	920	2389	476	1599	2996	10762	2503	2246	1139	1554	1358	2846	1129	1659	2216
FAM180A	0	3	8	0	1	0	0	0	0	1	0	2	5	0	0	0	0	1	0
FAM180B	0	0	2	0	0	3	2	3	0	3	2	1	0	1	0	0	0	0	0
FAM181A	99	83	260	22	37	119	4	156	89	323	82	104	23	116	46	81	27	31	189
FAM181A-AS1	182	199	441	50	62	164	2	227	219	802	211	141	40	211	66	171	56	55	323
FAM181B	46	21	139	15	39	57	10	18	30	101	36	39	11	42	26	23	18	53	31
FAM182A	281	191	856	110	79	365	19	347	495	1703	143	472	175	298	460	269	136	350	611
FAM182B	282	216	844	131	85	387	16	190	362	1050	163	254	153	178	254	377	124	170	211
FAM183A	3482	2837	10283	1285	2162	3787	209	4137	4008	16575	3033	3389	1819	4190	3388	3263	973	4842	3946
FAM183B	1	0	6	2	1	1	0	4	2	5	2	5	3	0	0	2	1	1	3
FAM184A	928	503	2195	292	345	1129	99	1016	1464	4879	1025	1075	330	681	428	1241	277	570	658
FAM184B	754	535	1737	395	510	1356	367	1123	1041	4094	1225	1250	745	677	520	558	476	599	654
FAM185A	288	187	542	84	193	355	152	259	286	1229	319	339	288	248	221	233	234	263	242
FAM186A	94	120	269	74	84	159	40	207	105	518	143	178	129	109	101	58	85	95	74
FAM186B	28	14	79	22	19	45	8	23	38	171	39	32	28	24	22	22	11	37	34
FAM187B	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0
FAM188A	1027	630	1746	408	427	1029	630	715	1016	3840	800	816	794	653	691	855	892	711	666
FAM189A1	0	2	2	2	0	1	0	1	5	4	0	1	2	0	3	0	28	2	4
FAM189A2	472	415	944	100	358	713	157	827	437	2041	438	481	270	450	239	323	246	251	300
FAM189B	425	336	798	316	227	574	310	493	396	1459	291	517	585	488	384	193	437	460	355
FAM18A	137	138	318	148	83	186	74	191	160	591	135	134	216	198	210	98	138	185	159
FAM18B1	1824	1108	3202	733	740	1872	1325	804	1684	7445	1602	1417	1518	1162	1379	1460	1590	1576	1400
FAM190A	158	82	128	99	41	127	102	50	92	281	117	110	165	90	99	91	186	81	84
FAM190B	1488	805	2122	690	510	1211	820	680	1193	3929	1075	865	1249	735	952	948	1299	935	1033
FAM192A	2232	1820	5013	1402	1294	2620	1365	2508	2466	8995	2027	2354	2850	1888	2314	1611	2311	2252	2207
FAM193A,RNF4,RP11-503N18.3	4223	3480	10792	2470	1867	5021	1667	7917	5014	20645	4650	5435	3981	3630	3758	3646	3035	3543	4332
FAM193B	996	1043	2868	839	823	1913	623	3233	1338	5749	1407	1542	1939	1271	1246	713	1309	939	1256
FAM194A	55	38	253	20	17	65	3	41	114	333	68	71	14	54	59	71	17	47	87
FAM194B	117	71	243	65	60	201	107	156	192	464	193	188	117	61	58	97	173	73	121
FAM195A	511	557	1034	491	378	617	328	631	516	2294	401	626	767	663	745	275	543	641	661
FAM195B	862	855	1735	693	667	1196	340	1483	859	3591	572	869	975	961	909	459	680	822	933
FAM196A	0	4	1	3	0	2	7	4	2	13	6	2	7	4	3	4	2	5	3
FAM196B	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM197Y3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FAM197Y8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FAM198B	176	26	111	183	101	193	62	40	183	609	122	177	96	54	78	172	134	84	91
FAM199X	1880	1145	3131	653	777	1895	1105	1299	1964	6403	1762	1425	1313	1149	1035	1430	1392	1215	1252
FAM19A1	0	0	1	0	0	1	0	0	3	1	0	0	0	1	3	0	1	0	1
FAM19A2	68	37	139	22	27	68	6	52	72	251	74	69	34	60	39	64	30	50	50
FAM19A3	6	4	3	0	6	6	0	1	3	8	4	1	1	4	1	2	2	3	2
FAM19A4	0	0	1	0	1	1	1	1	2	4	1	4	0	0	1	1	1	0	0
FAM19A5	5	2	3	2	0	5	2	9	4	11	2	4	2	8	1	1	2	1	4
FAM200A	454	249	735	123	228	446	186	281	372	1283	333	323	289	297	217	281	223	337	281
FAM201A	284	260	655	93	107	383	63	381	293	1189	324	406	167	237	208	202	124	248	231
FAM201B	62	18	130	18	13	35	4	61	36	343	49	63	16	10	13	71	4	23	48
FAM203A	24	23	50	12	14	38	16	22	25	82	25	28	36	14	30	14	28	16	28
FAM203B	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
FAM204A	824	604	1581	463	467	848	591	669	811	3124	772	779	984	632	659	580	742	756	639
FAM204BP	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
FAM204CP	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
FAM205A	0	3	0	0	0	1	0	1	4	3	3	0	0	1	0	0	0	0	2
FAM206A	1952	1406	4205	782	829	1952	631	1559	2189	8424	1854	1666	1284	1448	1480	2019	1194	1665	1813
FAM207A	307	342	763	282	235	444	205	391	338	1188	279	343	495	398	382	217	346	308	314
FAM207BP	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FAM208A	3029	1615	5080	932	1264	2680	1397	1932	2730	9916	2623	2444	1947	1761	1718	2343	1923	1898	2038
FAM208B	2886	1348	4054	1128	939	2457	1197	1414	2766	8314	2424	2152	1586	1413	1361	2068	2051	1177	1752
FAM209B	7	5	13	12	8	10	7	5	11	28	1	5	14	8	5	2	10	12	6
FAM20A	243	295	189	740	106	521	61	462	357	388	284	115	34	315	83	149	343	36	165
FAM20B	1726	1069	2456	834	796	1873	1275	1083	1562	5738	1347	1356	2025	1260	1248	1048	1630	1112	1127
FAM20C	102	139	263	545	102	187	164	404	91	527	98	139	215	113	119	144	339	105	199
FAM210A	317	145	438	161	138	262	215	188	242	826	190	217	300	240	205	153	256	212	217
FAM210B	4463	2829	7954	1511	2469	4545	2572	2557	3869	15055	3361	3712	4382	3388	3641	2760	3280	4201	3468
FAM211A	1639	1338	3040	1198	2422	2431	1568	1812	1366	7780	1544	1907	3931	2692	1868	1141	1248	1912	1099
FAM211B	152	149	214	63	152	257	32	219	124	634	162	177	254	162	94	59	72	109	78
FAM212A	110	40	199	40	137	151	65	65	80	353	106	197	103	139	91	21	45	146	53
FAM212B	394	210	544	163	317	522	144	243	283	1984	341	595	354	482	312	273	281	365	183
FAM213A	1967	1559	5433	1036	1481	3005	1901	1620	2050	8721	1944	2520	3406	2227	2505	1370	1940	3277	1899
FAM213B	1279	1002	2255	538	487	1309	570	1158	1113	4646	927	1241	1261	1111	896	749	866	963	1226
FAM214A	3230	1787	6925	1060	1185	3340	1953	2416	3675	12391	3191	3282	2252	1774	1954	2553	2602	1934	2591
FAM214B	495	401	1030	707	243	565	514	823	467	2218	369	480	1005	375	739	285	846	437	568
FAM215B	169	86	409	60	66	199	57	202	196	770	232	299	160	87	107	89	126	83	132
FAM216A	153	91	319	59	72	162	28	131	134	489	130	164	91	112	111	103	119	138	105
FAM216B	25376	15277	57634	5460	9286	21049	670	19169	28351	123392	21681	19706	7155	17662	14249	25847	3685	17312	23649
FAM217A	2	0	1	0	1	1	0	3	3	15	12	2	0	0	0	1	0	0	2
FAM218A	90	44	113	27	32	105	13	62	72	270	88	86	38	59	39	45	17	80	46
FAM218BP	0	0	1	0	0	0	0	0	0	1	3	0	1	0	2	1	0	0	0
FAM219A	201	184	365	242	94	257	278	255	224	655	192	229	406	119	183	93	418	151	138
FAM219B	2196	1635	4940	964	1175	2628	930	2293	2332	9074	2100	2244	2875	1677	2086	1453	1314	1932	1833
FAM21A	1113	572	1121	320	374	668	405	159	1127	2710	645	664	374	195	118	692	122	519	737
FAM21B	1	1	814	6	2	363	1	670	4	1706	415	283	233	640	544	321	319	332	131
FAM21C	740	415	1739	299	183	940	406	734	859	3086	839	878	384	320	456	814	613	573	746
FAM21D	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
FAM220A	557	334	873	238	256	544	379	327	377	1558	381	391	563	338	390	372	493	401	344
FAM220BP	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0
FAM220CP	731	234	1686	132	115	494	1	903	824	2775	430	439	37	222	151	389	59	43	754
FAM221A	1749	1333	4871	737	549	2488	387	1897	2534	8235	2059	2347	959	1237	955	1914	1273	1129	1875
FAM221B	86	124	215	44	62	156	49	150	122	547	155	160	163	80	150	59	173	97	192
FAM222A	176	90	175	151	48	152	80	41	129	283	75	115	175	91	166	108	452	91	118
FAM222A-AS1	15	6	11	7	2	7	3	0	7	77	6	8	8	7	8	6	8	4	11
FAM222B	753	507	1312	365	232	697	419	589	651	2122	478	640	660	487	547	486	637	575	572
FAM22A	45	51	147	10	1	57	26	102	30	38	9	34	57	4	21	13	7	31	21
FAM22B	11	10	56	8	9	45	6	22	23	149	21	18	17	15	57	10	20	16	43
FAM22B,RP11-506M13.3	174	123	404	63	90	239	94	166	267	802	153	217	132	171	126	112	121	120	154
FAM22D	141	186	354	62	75	244	62	197	210	264	65	189	142	160	96	118	32	121	126
FAM22E	412	276	714	136	116	436	163	381	546	966	253	414	297	231	291	286	163	247	299
FAM22F	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	2
FAM22G	4	9	20	24	7	21	15	33	17	71	14	15	13	8	12	7	17	2	33
FAM23B	1	2	10	4	1	3	0	3	1	4	0	1	1	3	2	0	0	0	0
FAM25C	0	0	4	1	0	2	0	1	0	3	3	1	6	1	2	0	0	0	2
FAM25E	0	2	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
FAM25G	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM26E	1	0	9	0	0	3	1	0	1	5	0	1	2	0	3	0	3	1	0
FAM26F	87	69	111	1823	33	170	59	29	83	253	70	69	57	40	92	37	115	136	62
FAM27A	44	43	232	61	74	82	9	82	145	429	48	119	63	76	170	111	48	168	97
FAM27B	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0
FAM27C	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
FAM27D1	23	39	103	28	20	89	5	70	78	204	54	114	34	20	61	32	28	20	45
FAM27E1	14	18	107	41	12	22	4	60	38	190	22	46	36	12	33	15	20	49	32
FAM27E2	20	46	12	12	11	83	0	61	33	29	32	78	37	27	74	6	16	12	42
FAM27E3	37	78	314	93	56	135	10	185	103	681	117	164	117	82	134	68	63	133	117
FAM27E3,RP11-12A20.6,RP11-12A20.7	81	87	384	71	74	186	10	206	204	809	208	242	120	111	168	155	82	80	155
FAM32A	1529	1249	2878	1293	840	1744	1386	1329	1446	5081	1116	1191	2544	1405	1617	918	1843	1559	1281
FAM32B	3	2	28	8	5	16	2	20	2	43	4	9	7	4	10	8	1	10	13
FAM35A	1096	717	1587	747	503	1045	774	928	954	3676	847	860	1327	752	934	646	953	817	670
FAM35B	25	18	21	8	15	15	9	41	25	73	25	27	16	16	20	11	13	28	13
FAM35B2,RP11-575L16.2	14	8	14	6	11	12	5	13	9	38	17	9	4	6	2	3	5	6	3
FAM3A	1066	954	2040	719	619	1300	738	1390	1045	4214	788	1232	1933	1191	1161	645	922	1084	878
FAM3B	679	575	2065	1571	484	713	1904	632	888	2527	533	929	5265	503	1819	346	1474	3038	1021
FAM3C	3412	2619	7241	1615	1884	3738	2759	1854	3944	14801	2813	2850	3661	3094	2374	2766	3693	3264	2746
FAM3C2	25	26	57	7	4	27	25	5	37	85	22	16	22	17	12	30	29	22	10
FAM3D	4518	5996	8325	5103	2791	5075	6022	2519	4364	17227	3239	3639	17906	5551	10587	1630	18778	6526	9735
FAM40A	1258	945	2601	752	550	1688	874	1388	1359	4883	1303	1554	1328	907	1061	868	1332	880	1001
FAM40B	8	8	49	46	8	31	18	50	65	126	28	30	21	16	41	17	46	10	29
FAM41C	77	17	35	2	89	203	5	127	54	292	78	97	29	116	8	39	7	13	14
FAM43A	131	68	226	79	62	155	114	51	73	477	80	122	179	101	176	68	176	128	82
FAM45A	1252	680	2025	582	709	1163	773	738	875	4185	937	946	1221	1016	863	648	820	1176	925
FAM45B	3	1	6	0	0	3	4	1	1	12	6	1	3	1	5	2	5	1	3
FAM46A	996	614	1422	966	401	973	688	732	1535	2651	729	660	817	633	536	1385	1544	506	698
FAM46B	73	77	205	90	20	77	82	97	62	397	48	119	81	80	155	116	258	54	52
FAM46C	5950	2739	4906	845	1345	4471	1486	2148	4388	17477	4034	2720	2212	2457	1684	3190	1780	1432	2014
FAM46D	1	0	7	0	1	0	0	0	1	1	3	2	0	2	0	7	1	0	3
FAM47A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM47C	3	2	5	1	2	1	0	2	1	6	2	6	0	1	2	2	0	1	4
FAM47DP	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0
FAM47E,STBD1	3161	1714	6496	1157	1082	1770	488	2617	2988	10905	2567	2848	1658	1757	1955	1649	1251	2438	2074
