Object	DM1	DM10	DM11	DM12	DM13	DM14	DM15	DM16	DM17	DM2	DM3	DM4	DM5	DM6	DM7	DM8	DM9	SN1	SN10	SN2	SN3	SN4	SN5	SN6	SN7	SN8	SN9							
IPI:IPI00440577	3129	1328	1345	2115	1236	1346	1571	1610	1943	1820	1173	1174	1197	1391	863	1774	1678	2318	2801	2195	2397	2327	1622	2661	2460	2650	2464							
IPI:IPI00448845	3129	1328	1345	2114	1235	1347	1570	1610	1945	1820	1173	1174	1197	1394	863	1774	1678	2318	2801	2190	2393	2328	1622	2659	2460	2648	2464							
IPI:IPI00430848	3129	1328	1345	2114	1235	1346	1570	1611	1941	1820	1173	1174	1197	1392	863	1774	1678	2318	2801	2191	2396	2327	1623	2659	2461	2648	2464							
IPI:IPI00448707	3129	1328	1345	2115	1235	1346	1570	1610	1941	1820	1173	1174	1197	1391	863	1774	1678	2319	2801	2191	2394	2327	1622	2660	2460	2648	2464							
IPI:IPI00472961	3129	1328	1345	2115	1235	1346	1570	1610	1941	1820	1173	1174	1197	1391	863	1774	1678	2318	2801	2191	2393	2328	1622	2659	2460	2648	2464							
IPI:IPI00430839	3129	1328	1345	2114	1235	1346	1570	1610	1941	1820	1173	1174	1197	1391	863	1774	1678	2318	2801	2190	2393	2327	1622	2659	2460	2649	2464							
IPI:IPI00549330	3129	1328	1345	2114	1235	1346	1570	1610	1941	1820	1173	1174	1197	1391	863	1774	1678	2318	2801	2190	2393	2327	1622	2659	2460	2648	2464							
IPI:IPI00554675	3128	1324	1336	2111	1235	1346	1570	1610	1941	1820	1173	1174	1197	1390	863	1772	1678	2318	2801	2190	2393	2327	1622	2659	2460	2648	2464							
IPI:IPI00550315	3056	1129	1349	2136	1003	1597	1414	1600	1802	1841	949	1051	1044	1270	764	1513	1400	2270	2552	2177	2194	2493	1764	2615	2473	2609	2274							
IPI:IPI00550048	2793	1187	1245	1813	1159	1214	1324	1387	1722	1497	1068	1096	1146	1223	741	1557	1513	2005	2371	1993	2140	2085	1439	2311	2138	2290	2103							
IPI:IPI00553177	1416	1280	1449	2160	1194	1636	738	724	938	1515	833	1333	1230	1700	977	1465	1805	1824	1558	1568	1749	1733	2213	1256	1670	1666	1520							
IPI:IPI00550640	1199	787	857	1244	786	981	925	791	1554	1169	761	668	707	806	518	916	785	1216	1836	1266	1258	1278	1112	1609	1907	2107	1500							
IPI:IPI00426051	1163	739	805	1114	802	737	1042	713	1380	812	631	597	581	860	440	1081	715	1287	1828	1257	1549	1281	953	1804	1839	1755	1598							
IPI:IPI00399007	1224	668	761	1076	724	718	967	766	1476	825	607	579	574	869	439	898	532	1216	1934	1047	1438	1135	858	1888	2042	1867	1639							
IPI:IPI00154742	985	784	686	1091	980	978	775	801	867	1210	1317	928	742	871	786	1022	859	1048	1131	954	1413	1297	1263	821	1008	1196	910							
IPI:IPI00430806	977	771	681	1091	976	964	771	801	867	1201	1317	928	742	867	777	1009	853	1048	1131	954	1413	1286	1257	820	997	1180	906							
IPI:IPI00386158	970	767	677	1094	975	960	770	802	863	1192	1316	927	744	866	774	999	852	1054	1133	945	1419	1260	1254	809	970	1134	891							
IPI:IPI00022229	989	466	477	834	568	1312	415	538	858	1228	529	2294	2456	1409	778	1298	1341	944	1025	923	1199	480	554	586	1047	931	848							
IPI:IPI00412608	969	764	676	1088	973	960	766	801	863	1193	1313	927	740	862	770	996	847	1046	1124	943	1409	1257	1251	797	966	1125	892							
IPI:IPI00550162	970	764	676	1090	972	958	766	797	860	1191	1313	925	742	863	770	996	847	1048	1122	941	1411	1254	1251	798	965	1125	891							
IPI:IPI00384931	969	765	676	1086	973	958	764	796	860	1193	1313	924	739	862	769	996	848	1044	1121	941	1405	1253	1252	797	971	1125	888							
IPI:IPI00479461	969	764	678	1086	973	958	766	798	863	1191	1313	924	739	862	770	996	847	1044	1120	941	1405	1253	1251	796	963	1121	888							
IPI:IPI00456619	969	765	676	1086	971	958	764	796	860	1192	1313	924	740	862	770	996	847	1044	1121	941	1405	1253	1251	796	963	1121	888							
IPI:IPI00555945	969	764	676	1086	971	958	764	796	860	1191	1313	924	739	862	769	996	847	1044	1120	941	1406	1253	1251	797	963	1121	888							
IPI:IPI00550990	947	760	667	1070	965	926	738	774	834	1177	1307	922	735	856	761	989	838	1032	1057	915	1395	1246	1243	767	876	1051	846							
IPI:IPI00470798	1047	574	697	880	620	656	887	693	1354	761	560	514	514	688	404	756	481	1015	1670	904	1144	972	754	1632	1731	1663	1382							
IPI:IPI00553170	853	782	646	1044	946	912	679	685	813	1150	1222	917	733	843	807	907	798	944	891	868	1349	1204	1150	661	763	932	779							
IPI:IPI00430823	854	782	646	1044	946	911	679	684	814	1148	1223	917	733	843	805	907	798	943	891	866	1352	1206	1151	663	759	929	779							
IPI:IPI00477644	854	783	646	1044	946	911	679	684	814	1149	1223	917	734	843	806	907	797	943	892	866	1350	1205	1150	663	759	928	779							
IPI:IPI00441042	854	782	646	1044	946	911	679	684	814	1148	1223	917	733	843	805	907	797	943	891	866	1350	1205	1150	663	759	929	779							
IPI:IPI00456772	853	782	646	1047	946	911	679	684	817	1148	1222	917	732	843	805	907	797	942	891	867	1347	1204	1148	661	758	930	776							
IPI:IPI00554822	853	782	646	1044	946	911	679	684	813	1148	1222	917	732	843	805	907	797	942	891	866	1350	1204	1148	662	758	928	777							
IPI:IPI00440192	853	782	646	1044	946	911	679	684	813	1148	1222	919	732	843	805	907	797	942	892	866	1347	1204	1148	660	758	928	776							
IPI:IPI00453459	439	1095	725	1242	840	1011	449	642	906	1127	594	812	981	1205	590	934	1276	1154	1106	859	1719	753	554	368	758	592	999							
IPI:IPI00555805	438	1083	718	1233	825	1014	440	629	895	1136	582	802	982	1198	590	916	1275	1145	1086	851	1715	743	562	362	747	585	998							
IPI:IPI00032258	432	1055	687	1218	806	998	434	622	880	1129	576	798	976	1184	584	907	1259	1137	1071	857	1699	739	558	366	732	576	982							
IPI:IPI00418163	431	1057	697	1186	792	953	447	640	871	1119	584	802	964	1165	582	916	1235	1145	1075	873	1659	742	531	367	742	581	937							
IPI:IPI00552854	804	635	522	929	854	740	613	646	651	945	1138	827	651	756	660	808	684	853	778	724	1147	953	1042	610	659	791	749							
IPI:IPI00017601	991	671	652	775	394	809	550	618	720	509	374	1108	768	727	420	560	789	897	951	871	506	910	1543	748	818	649	564							
IPI:IPI00021841	1044	548	511	637	399	811	658	687	608	864	348	550	638	515	476	536	521	815	1342	738	974	701	627	759	1409	1047	779							
IPI:IPI00550061	733	473	675	760	590	723	542	401	1073	586	412	520	364	453	492	625	450	865	1190	961	845	965	821	956	928	1074	867							
IPI:IPI00472345	729	468	673	754	586	714	538	394	1067	581	410	517	362	447	489	620	447	857	1184	960	836	959	815	949	922	1065	861							
IPI:IPI00554766	729	468	671	754	584	714	538	394	1067	581	410	517	362	447	489	620	447	857	1182	960	836	959	816	949	922	1065	861							
IPI:IPI00478493	395	601	656	617	497	553	543	625	478	706	517	492	913	410	320	456	872	808	606	399	780	751	1583	503	705	517	627							
IPI:IPI00426069	635	363	502	771	528	528	695	433	965	381	318	262	310	434	155	516	441	602	952	529	809	588	487	1014	1157	1264	909							
IPI:IPI00556287	860	435	384	626	360	444	555	569	667	689	343	317	256	446	291	532	464	772	1074	651	782	742	616	908	887	991	849							
IPI:IPI00021854	752	515	473	633	288	636	416	460	521	696	419	557	557	470	349	406	589	638	739	756	619	583	595	609	753	747	587							
IPI:IPI00022488	424	569	693	615	542	637	584	654	495	588	614	692	661	679	475	583	558	481	386	532	726	624	596	299	461	353	381							
IPI:IPI00166866	1925	473	773	923	401	677	213	324	241	435	236	162	243	614	409	561	673	863	349	522	511	837	264	512	463	375	469							
IPI:IPI00550584	1923	473	763	920	397	671	213	324	242	434	235	164	244	610	408	555	674	863	348	525	511	837	266	509	455	374	469							
IPI:IPI00553132	1922	473	761	923	397	669	213	323	242	433	233	164	243	610	412	555	672	863	348	523	509	837	266	509	455	372	467							
IPI:IPI00386879	1925	471	763	920	397	673	211	322	242	433	233	162	243	611	410	556	672	864	343	522	510	838	264	509	455	375	469							
IPI:IPI00430842	1923	471	761	920	395	669	211	322	240	433	233	162	244	609	408	553	672	864	345	522	509	836	264	510	453	371	468							
IPI:IPI00423462	1925	471	769	919	394	669	211	322	240	434	233	162	243	609	407	554	671	863	343	522	508	836	264	506	452	371	467							
IPI:IPI00449920	1923	471	761	918	395	669	211	322	240	433	233	162	243	609	408	553	673	864	343	522	510	836	264	507	453	371	468							
IPI:IPI00552678	1922	471	761	918	395	669	211	322	240	433	233	162	243	609	408	553	672	863	345	522	509	835	264	507	455	372	467							
